onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
15.02426	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
64.734861	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
80.492674	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
102.858877	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
113.864164	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
124.871585	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
177.919496	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
186.930592	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
202.696913	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
230.12164	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
246.891992	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
262.902498	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
289.013157	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
303.014517	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
321.769932	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
332.774237	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
350.545185	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
383.645988	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
450.347392	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
465.101688	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
42.96384000000001	1.5	b_minus	n/a	0.0	n/a	-1.520316593510106	0.5204085436002641	house	face	body
47.638345	1.5	b_minus	n/a	0.0	n/a	-0.6467165935101059	0.206808543600264	house	face	body
90.511728	1.5	b_minus	n/a	0.0	n/a	0.2968688912898944	-0.4903769411997363	house	face	body
97.18322	1.5	b_minus	n/a	0.0	n/a	0.1528450198018942	-0.23793706971173603	house	face	body
157.069597	1.5	b_minus	n/a	1.0	861.318999997	0.5493873872083835	1.4132236028817746	house	face	body
221.450717	1.5	b_minus	n/a	0.0	n/a	-1.7360468419939703	0.5996471696841283	house	face	body
279.586018	1.5	b_minus	n/a	1.0	875.8370000010001	0.8710462210471436	0.6289894151870143	house	face	body
377.980219	1.5	b_minus	n/a	0.0	n/a	-2.0007897649498223	0.6608569369433401	house	face	body
401.408921	1.5	b_minus	n/a	0.0	n/a	-1.4789878546293689	0.8894689023570056	house	face	body
437.924052	1.5	b_minus	n/a	1.0	906.415999999	1.3714680515974182	0.36919510145323065	house	face	body
20.44489	1.5	b_plus	n/a	1.0	955.765	1.039683406489894	-0.03959145639973595	house	face	body
69.070977	1.5	b_plus	n/a	1.0	920.8900000030001	1.1776674064898942	-0.7375754563997361	house	face	body
83.82991700000002	1.5	b_plus	n/a	0.0	n/a	-2.0968746735101065	0.2905666236002644	house	face	body
130.206191	1.5	b_plus	n/a	1.0	901.837999999	2.789838994237734	-1.5845630441475758	house	face	body
236.463151	1.5	b_plus	n/a	1.0	923.536	0.7313188995431977	-0.20094598945303974	house	face	body
310.34708	1.5	b_plus	n/a	1.0	884.9989999999998	0.5824910545638347	-0.3490754820736767	house	face	body
327.105294	1.5	b_plus	n/a	0.0	n/a	-2.0254535112789798	0.1282078552251371	house	face	body
337.111968	1.5	b_plus	n/a	1.0	882.7339999999998	2.287499836622159	-1.122236433235361	house	face	body
387.981381	1.5	b_plus	n/a	1.0	883.3560000000001	1.148367452357372	-0.6356000628166925	house	face	body
470.4361	1.5	b_plus	n/a	0.0	n/a	-1.7421608200841956	-0.03217003646741691	house	face	body
108.193435	1.5	c_minus	n/a	0.0	n/a	-1.3831311087101057	0.3832230588002639	house	face	body
121.199461	1.5	c_minus	n/a	0.0	n/a	0.210421148313894	-0.6503291982237358	house	face	body
183.253999	1.5	c_minus	n/a	0.0	n/a	-2.5523963868960045	2.3588883369861624	house	face	body
193.272183	1.5	c_minus	n/a	1.0	1115.147	2.3507329816962015	-0.4358250316060439	house	face	body
212.036679	1.5	c_minus	n/a	1.0	840.176000003	-0.23764254253486303	1.080253532625021	house	face	body
