onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
15.015	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
39.14	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
51.652	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
65.163	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
96.29	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
111.801	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
122.311	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
139.829	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
178.169	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
199.285	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
218.402	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
284.36	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
304.878	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
319.396	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
341.5130000000001	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
355.63	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
383.359	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
396.87	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
455.229	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
487.365	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
26.527	1.5	b_minus	n/a	1.0	886.0	1.0390102027692152	-0.041863476531088996	body	house	face
86.279	1.5	b_minus	n/a	0.0	n/a	-2.047873637230785	0.485020363468911	body	house	face
91.285	1.5	b_minus	n/a	0.0	n/a	-0.8792186868307849	0.18996541306891104	body	house	face
240.517	1.5	b_minus	n/a	0.0	n/a	-1.385192302165282	1.0803230284034082	body	house	face
294.87	1.5	b_minus	n/a	0.0	n/a	-0.5876388994019636	0.4518985856400897	body	house	face
371.747	1.5	b_minus	n/a	1.0	911.0	0.4792990211866435	1.4593774074514827	body	house	face
426.596	1.5	b_minus	n/a	0.0	n/a	-1.840620823000156	0.6920406182942822	body	house	face
433.603	1.5	b_minus	n/a	0.0	n/a	-0.7880274485693084	0.2810543251920744	body	house	face
439.61	1.5	b_minus	n/a	0.0	n/a	-0.3248863638197352	0.10022035622710293	body	house	face
474.745	1.5	b_minus	n/a	1.0	894.0	1.878895713470077	0.02065340988251553	body	house	face
70.666	1.5	b_plus	n/a	1.0	836.0	0.979874202769215	0.017272523468911075	body	house	face
128.815	1.5	b_plus	n/a	0.0	n/a	-0.13223355070278486	-1.4306197230590891	body	house	face
144.33100000000005	1.5	b_plus	n/a	1.0	658.0	2.0595594531858548	-0.7488127269477292	body	house	face
224.906	1.5	b_plus	n/a	1.0	875.0	0.011457908521891248	0.5636728177162348	body	house	face
308.38	1.5	b_plus	n/a	0.0	n/a	0.6036424381640525	-2.3521827519259264	body	house	face
326.9	1.5	b_plus	n/a	1.0	851.0	1.9712543345218347	-0.7422099058837086	body	house	face
347.017	1.5	b_plus	n/a	1.0	843.0	-0.19285909304109924	0.7320408083352252	body	house	face
360.134	1.5	b_plus	n/a	1.0	753.0	0.06683451826645284	0.16880760315631316	body	house	face
402.3730000000001	1.5	b_plus	n/a	1.0	694.0	0.17000682039964354	-0.06792212028027599	body	house	face
491.869	1.5	b_plus	n/a	0.0	n/a	-1.4438011338792789	-0.5128794313748488	body	house	face
19.519000000000002	1.5	c_minus	n/a	0.0	n/a	-0.9609897972307848	-0.041863476531088996	body	house	face
46.644	1.5	c_minus	n/a	0.0	n/a	0.1590102027692152	-0.6018634765310891	body	house	face
57.155	1.5	c_minus	n/a	0.0	n/a	0.02461020276921514	-0.22106347653108904	body	house	face
100.793	1.5	c_minus	n/a	0.0	n/a	-0.4861456372307849	0.3981083634689111	body	house	face
118.304	1.5	c_minus	n/a	0.0	n/a	0.10202890356921517	-0.14236313733108907	body	house	face
183.672	1.5	c_minus	n/a	1.0	850.0	-0.3970969721550404	2.3777520759931665	body	house	face
204.789	1.5	c_minus	n/a	1.0	845.0	0.09134306376012573	0.7785473486220003	body	house	face
289.863	1.5	c_minus	n/a	0.0	n/a	-2.483934547420035	0.865088495561521	body	house	face
391.862	1.5	c_minus	n/a	0.0	n/a	-0.641163500451958	-0.07272659567243743	body	house	face
460.733	1.5	c_minus	n/a	1.0	n/a	0.3180680474309888	1.366222476967628	body	house	face
135.822	1.5	c_plus	n/a	0.0	n/a	-0.20132899927878486	-0.8015242744830892	body	house	face
155.942	1.5	c_plus	n/a	1.0	926.0	1.9332609538680952	-0.3761142276299689	body	house	face
166.55700000000004	1.5	c_plus	n/a	1.0	933.0	0.8724805332527222	-0.18893380701459628	body	house	face
246.524	1.5	c_plus	n/a	1.0	835.0	0.6206507639846314	-0.3214880377465055	body	house	face
262.134	1.5	c_plus	n/a	1.0	861.0	0.2949320497039983	-0.1648982834658722	body	house	face
271.746	1.5	c_plus	n/a	1.0	810.0	0.15161581542051966	-0.09599879158239354	body	house	face
314.388	1.5	c_plus	n/a	0.0	n/a	-0.4985942675582307	-1.4785320752596431	body	house	face
414.985	1.5	c_plus	n/a	1.0	884.0	2.183361509628996	-1.0548949337755096	body	house	face
445.616	1.5	c_plus	n/a	1.0	854.0	0.9825247777875188	-0.4875973177186342	body	house	face
483.358	1.5	c_plus	n/a	0.0	n/a	-1.7021157772333246	-0.08171397364301546	body	house	face
33.63300000000001	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
79.773	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
150.435	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
161.049	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
172.662	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
190.778	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
210.894	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
235.011	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
254.628	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
267.241	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
279.85200000000003	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
333.005	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
351.1230000000001	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
366.24	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
375.852	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
408.478	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
420.09	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
450.722	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
466.23800000000006	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
479.852	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
