onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
15.002115	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
55.285028	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
71.682408	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
95.040855	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
119.441822	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
137.838493	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
157.245623	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
172.674019	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
188.058592	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
207.461616	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
218.893286	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
245.21576	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
287.428621	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
322.7019390000001	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
346.049088	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
365.460355	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
372.895081	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
427.11576	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
469.306181	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
498.664104	1.5	A	n/a	0.0	n/a	n/a	n/a	face	body	house
88.082499	1.5	b_minus	n/a	0.0	n/a	-1.3536903354793526	0.35025571659935256	face	body	house
183.098953	1.5	b_minus	n/a	0.0	n/a	-0.8628643163422263	0.4194296974622263	face	body	house
239.263653	1.5	b_minus	n/a	0.0	n/a	-1.5593348277180443	1.3623002088380445	face	body	house
271.56265299999995	1.5	b_minus	n/a	0.0	n/a	-0.6652861296643771	0.5766675107843771	face	body	house
