onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
15.00425	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
70.990617	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
83.353541	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
106.637722	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
118.045674	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
138.441195	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
195.484203	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
208.888704	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
224.249235	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
243.560923	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
263.924658	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
275.33194	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
302.582748	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
312.9952	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
327.362031	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
346.762987	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
365.125265	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
390.367189	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
454.363552	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
477.725473	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
53.216158	1.5	b_minus	n/a	0.0	n/a	-1.520316593510106	0.5204085436002641	house	face	body
59.154388	1.5	b_minus	n/a	0.0	n/a	-0.6467165935101059	0.206808543600264	house	face	body
96.761668	1.5	b_minus	n/a	0.0	n/a	0.2968688912898944	-0.4903769411997363	house	face	body
100.700449	1.5	b_minus	n/a	0.0	n/a	0.1528450198018942	-0.23793706971173603	house	face	body
168.699776	1.5	b_minus	n/a	1.0	950.8289999880001	0.5493873872083835	1.4132236028817746	house	face	body
239.61993	1.5	b_minus	n/a	0.0	n/a	-1.7360468419939703	0.5996471696841283	house	face	body
291.689026	1.5	b_minus	n/a	1.0	862.172999996	0.8710462210471436	0.6289894151870143	house	face	body
385.428444	1.5	b_minus	n/a	0.0	n/a	-2.0007897649498223	0.6608569369433401	house	face	body
406.73532400000005	1.5	b_minus	n/a	0.0	n/a	-1.4789878546293689	0.8894689023570056	house	face	body
443.471246	1.5	b_minus	n/a	1.0	906.511000003	1.3714680515974182	0.36919510145323065	house	face	body
21.492934	1.5	b_plus	n/a	1.0	965.7099999980001	1.039683406489894	-0.03959145639973595	house	face	body
