onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
15.002341	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
36.817428	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
47.474784	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
59.130649	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
94.23395	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
103.886986	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
120.535451	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
136.627331	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
171.90042	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
192.135377	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
215.365759	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
269.077411	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
291.1758200000001	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
307.269066	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
323.502125	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
342.740083	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
366.991243	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
377.649346	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
427.227184	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
461.908787	1.5	A	n/a	0.0	n/a	n/a	n/a	body	house	face
26.800544	1.5	b_minus	n/a	1.0	864.6329999989999	1.0390102027692152	-0.041863476531088996	body	house	face
80.36081300000002	1.5	b_minus	n/a	0.0	n/a	-2.047873637230785	0.485020363468911	body	house	face
89.797501	1.5	b_minus	n/a	0.0	n/a	-0.8792186868307849	0.18996541306891104	body	house	face
231.59756600000003	1.5	b_minus	n/a	0.0	n/a	-1.385192302165282	1.0803230284034082	body	house	face
282.73828	1.5	b_minus	n/a	0.0	n/a	-0.5876388994019636	0.4518985856400897	body	house	face
357.9752430000001	1.5	b_minus	n/a	1.0	838.444999995	0.4792990211866435	1.4593774074514827	body	house	face
398.900295	1.5	b_minus	n/a	0.0	n/a	-1.840620823000156	0.6920406182942822	body	house	face
404.336981	1.5	b_minus	n/a	0.0	n/a	-0.7880274485693084	0.2810543251920744	body	house	face
407.774009	1.5	b_minus	n/a	0.0	n/a	-0.3248863638197352	0.10022035622710293	body	house	face
441.458341	1.5	b_minus	n/a	1.0	882.256000006	1.878895713470077	0.02065340988251553	body	house	face
67.349121	1.5	b_plus	n/a	1.0	890.30600001	0.979874202769215	0.017272523468911075	body	house	face
126.753791	1.5	b_plus	n/a	0.0	n/a	-0.13223355070278486	-1.4306197230590891	body	house	face
140.84577099999998	1.5	b_plus	n/a	1.0	890.953000003	2.0595594531858548	-0.7488127269477292	body	house	face
219.583934	1.5	b_plus	n/a	1.0	812.7299999989999	0.011457908521891248	0.5636728177162348	body	house	face
296.396674	1.5	b_plus	n/a	0.0	n/a	0.6036424381640525	-2.3521827519259264	body	house	face
314.488054	1.5	b_plus	n/a	1.0	860.953000005	1.9712543345218347	-0.7422099058837086	body	house	face
329.720019	1.5	b_plus	n/a	1.0	867.775	-0.19285909304109924	0.7320408083352252	body	house	face
346.958178	1.5	b_plus	n/a	1.0	874.013000002	0.06683451826645284	0.16880760315631316	body	house	face
380.867623	1.5	b_plus	n/a	1.0	806.441000002	0.17000682039964354	-0.06792212028027599	body	house	face
471.128216	1.5	b_plus	n/a	0.0	n/a	-1.4438011338792789	-0.5128794313748488	body	house	face
21.364263	1.5	c_minus	n/a	0.0	n/a	-0.9609897972307848	-0.041863476531088996	body	house	face
41.036368	1.5	c_minus	n/a	0.0	n/a	0.1590102027692152	-0.6018634765310891	body	house	face
51.692817	1.5	c_minus	n/a	0.0	n/a	0.02461020276921514	-0.22106347653108904	body	house	face
99.452927	1.5	c_minus	n/a	0.0	n/a	-0.4861456372307849	0.3981083634689111	body	house	face
114.104863	1.5	c_minus	n/a	0.0	n/a	0.10202890356921517	-0.14236313733108907	body	house	face
176.117922	1.5	c_minus	n/a	1.0	852.703999999	-0.3970969721550404	2.3777520759931665	body	house	face
201.353997	1.5	c_minus	n/a	1.0	854.2090000060001	0.09134306376012573	0.7785473486220003	body	house	face
276.296099	1.5	c_minus	n/a	0.0	n/a	-2.483934547420035	0.865088495561521	body	house	face
372.210166	1.5	c_minus	n/a	0.0	n/a	-0.641163500451958	-0.07272659567243743	body	house	face
432.445368	1.5	c_minus	n/a	1.0	882.3780000039999	0.3180680474309888	1.366222476967628	body	house	face
130.19021399999997	1.5	c_plus	n/a	0.0	n/a	-0.20132899927878486	-0.8015242744830892	body	house	face
148.868051	1.5	c_plus	n/a	1.0	883.538000003	1.9332609538680952	-0.3761142276299689	body	house	face
161.882343	1.5	c_plus	n/a	1.0	848.435000001	0.8724805332527222	-0.18893380701459628	body	house	face
236.032974	1.5	c_plus	n/a	1.0	847.243000005	0.6206507639846314	-0.3214880377465055	body	house	face
248.048647	1.5	c_plus	n/a	1.0	855.348999999	0.2949320497039983	-0.1648982834658722	body	house	face
256.06251499999996	1.5	c_plus	n/a	1.0	854.7540000089999	0.15161581542051966	-0.09599879158239354	body	house	face
303.832655	1.5	c_plus	n/a	0.0	n/a	-0.4985942675582307	-1.4785320752596431	body	house	face
391.885261	1.5	c_plus	n/a	1.0	928.13200001	2.183361509628996	-1.0548949337755096	body	house	face
414.211113	1.5	c_plus	n/a	1.0	871.165999991	0.9825247777875188	-0.4875973177186342	body	house	face
455.471615	1.5	c_plus	n/a	0.0	n/a	-1.7021157772333246	-0.08171397364301546	body	house	face
30.880032	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
72.425162	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
143.929788	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
154.945956	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
165.96086699999995	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
184.197186	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
207.428627	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
227.661987	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
241.111817	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
251.12585	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
265.141817	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
319.5646680000001	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
332.800884	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
351.039013	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
362.053552	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
385.948252	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
395.962364	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
418.290097	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
437.521841	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	body	house	face
446.53529	1.0	feedback	1.0	0.0	n/a	n/a	n/a	body	house	face
