onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
15.001901	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
81.361475	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
94.825483	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
117.26732	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
129.740603	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
139.21504299999998	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
199.593687	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
212.066261	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
227.527959	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
253.976507	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
273.438955	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
284.911868	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
309.338151	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
320.8121450000001	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
335.274186	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
346.75086	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
370.206071	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
399.640292	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
454.994234	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
472.456373	1.5	A	n/a	0.0	n/a	n/a	n/a	house	face	body
49.423467	1.5	b_minus	n/a	0.0	n/a	-1.520316593510106	0.5204085436002641	house	face	body
58.406891	1.5	b_minus	n/a	0.0	n/a	-0.6467165935101059	0.206808543600264	house	face	body
105.300724	1.5	b_minus	n/a	0.0	n/a	0.2968688912898944	-0.4903769411997363	house	face	body
112.284093	1.5	b_minus	n/a	0.0	n/a	0.1528450198018942	-0.23793706971173603	house	face	body
174.650726	1.5	b_minus	n/a	1.0	1047.93099999	0.5493873872083835	1.4132236028817746	house	face	body
243.992262	1.5	b_minus	n/a	0.0	n/a	-1.7360468419939703	0.5996471696841283	house	face	body
297.369714	1.5	b_minus	n/a	1.0	875.0689999960001	0.8710462210471436	0.6289894151870143	house	face	body
392.657822	1.5	b_minus	n/a	0.0	n/a	-2.0007897649498223	0.6608569369433401	house	face	body
418.105002	1.5	b_minus	n/a	0.0	n/a	-1.4789878546293689	0.8894689023570056	house	face	body
440.025185	1.5	b_minus	n/a	1.0	870.560999998	1.3714680515974182	0.36919510145323065	house	face	body
19.499902	1.5	b_plus	n/a	1.0	937.4269999910001	1.039683406489894	-0.03959145639973595	house	face	body
