onset	duration	condition	feedback_valence	rew	rt	PE	PE_mb	a_stim	b_stim	c_stim
103.247931	1.5	b_minus	n/a	0.0	n/a	-2.0954755412311745	1.09468186620315	face	body	house
178.59979099999995	1.5	b_minus	n/a	1.0	892.2150000089999	0.5439335578629233	1.0152727671090522	face	body	house
220.266894	1.5	b_minus	n/a	0.0	n/a	-2.265379917895188	0.9509862428671632	face	body	house
233.146741	1.5	b_minus	n/a	0.0	n/a	-1.0258961343297404	0.44711845930171584	face	body	house
275.708902	1.5	b_minus	n/a	1.0	871.733999994	0.18819678300664602	1.5566965819653291	face	body	house
289.605729	1.5	b_minus	n/a	0.0	n/a	-1.9463223859329335	0.7136310085049091	face	body	house
304.490807	1.5	b_minus	n/a	0.0	n/a	-0.8855108202663484	0.3426821561823241	face	body	house
318.326307	1.5	b_minus	n/a	0.0	n/a	-0.4187537313730511	0.17946466116038665	face	body	house
338.101931	1.5	b_minus	n/a	0.0	n/a	-0.21338061226000016	0.10764896335073418	face	body	house
342.041459	1.5	b_minus	n/a	1.0	849.083000002	1.876983560149742	0.07605005631448727	face	body	house
15.001866	1.5	b_plus	n/a	0.0	n/a	-1.052016018671175	0.05122234364315007	face	body	house
29.901365	1.5	b_plus	n/a	1.0	933.956999995	2.0679839813288257	-0.50877765635685	face	body	house
60.628355000000006	1.5	b_plus	n/a	1.0	479.476000008	-0.30641601867117496	0.9920223436431505	face	body	house
93.354596	1.5	b_plus	n/a	1.0	826.7669999999998	0.9457045573288256	-0.6444822323568503	face	body	house
109.188163	1.5	b_plus	n/a	1.0	624.936000002	0.9725948448424256	-0.8405014798704502	face	body	house
135.974229	1.5	b_plus	n/a	1.0	824.266000005	-0.1749693222928067	0.2326459448647822	face	body	house
195.492661	1.5	b_plus	n/a	0.0	n/a	-1.3596829973663525	-0.6153837467176722	face	body	house
201.431466	1.5	b_plus	n/a	1.0	854.274000006	2.1049040187722468	-0.9743778441849112	face	body	house
251.919593	1.5	b_plus	n/a	1.0	838.119000001	2.325269601743844	-1.82828254294111	face	body	house
352.934728	1.5	b_plus	n/a	0.0	n/a	-0.0004091289002074033	-1.7813610232422834	face	body	house
75.52275300000002	1.5	c_minus	n/a	1.0	852.043	0.25806398132882546	0.74114234364315	face	body	house
88.414085	1.5	c_minus	n/a	0.0	n/a	-2.089225618671174	0.5284319436431502	face	body	house
147.868732	1.5	c_minus	n/a	0.0	n/a	-1.8579274253306768	1.1707337503026525	face	body	house
214.32648	1.5	c_minus	n/a	0.0	n/a	-1.7515978943379913	1.4487882193099668	face	body	house
227.206304	1.5	c_minus	n/a	0.0	n/a	0.15193380640884369	-0.2856145214368681	face	body	house
239.086717	1.5	c_minus	n/a	0.0	n/a	-0.07648999768077681	0.017226025052752315	face	body	house
260.813415	1.5	c_minus	n/a	1.0	857.564	-0.05075973208119745	2.024239126109173	face	body	house
296.550658	1.5	c_minus	n/a	0.0	n/a	-2.052166773061972	0.9200532484185876	face	body	house
331.16181	1.5	c_minus	n/a	0.0	n/a	-1.1394325351871173	0.6408581263283343	face	body	house
367.813769	1.5	c_minus	n/a	1.0	891.446999996	2.6500940771793937	-0.8699112750929519	face	body	house
24.960188	1.5	c_plus	n/a	0.0	n/a	-1.052016018671175	0.05122234364315007	face	body	house
42.795207	1.5	c_plus	n/a	0.0	n/a	-0.4920160186711745	0.05122234364315007	face	body	house
49.73543400000001	1.5	c_plus	n/a	1.0	992.473	1.7543839813288251	0.05122234364315007	face	body	house
125.081461	1.5	c_plus	n/a	1.0	897.693	1.7099925573288253	-0.91597023235685	face	body	house
155.809567	1.5	c_plus	n/a	1.0	857.392999993	1.7345781424981466	-1.385652777526171	face	body	house
166.7028	1.5	c_plus	n/a	1.0	842.249000003	0.7340854122433268	-0.5810027096713514	face	body	house
243.026239	1.5	c_plus	n/a	1.0	1144.22000001	1.1451279875051903	-1.078216056389215	face	body	house
308.4314770000001	1.5	c_plus	n/a	1.0	906.66799999	1.5941082460148852	-1.5651114543395501	face	body	house
322.265935	1.5	c_plus	n/a	1.0	862.094000005	0.6722786577906917	-0.6599645274692378	face	body	house
359.874769	1.5	c_plus	n/a	0.0	n/a	-1.1243731117790257	-0.8706531288952286	face	body	house
38.355816	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
54.189291	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
69.082581	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
80.975966	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
97.807293	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
115.641858	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
128.534198	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
142.428309	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
160.263211	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
173.156733	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
186.053357	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
206.886115	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
248.479826	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
255.372877	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
265.266767	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
282.164424	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
311.887833	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
326.719589	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
347.494524	1.0	feedback	1.0	0.0	n/a	n/a	n/a	face	body	house
375.267475	1.0	feedback	-1.0	0.0	n/a	n/a	n/a	face	body	house
